site,Lat,Lon,ER,VEG,PPT,TEMP,ELEV
119,36.71,-76.52,M.A.Flatwoods,Shurbland.Grassland,1153.92,14.06,24
120,36.62,-76.55,Swamps.Peatlands,ForestOpenWoodland,1474.22,16.78,6
121,36.58,-76.43,Swamps.Peatlands,ForestOpenWoodland,1153.92,16.78,23
122,36.72,-76.53,Swamps.Peatlands,ForestOpenWoodland,1153.92,16.78,6
123,36.52,-76.52,C.Flatwoods,OpenWater,-253974.6,16.67,3
124,34.7,-77.11,C.B.Islands.C.Marshes,OpenWater,-253974.6,16.67,4
125,34.64,-77.14,C.B.Islands.C.Marshes,OpenWater,1403.35,16.56,2
126,34.67,-77.12,C.Flatwoods,ForestOpenWoodland,-253974.6,16.67,5
127,34.57,-77.76,C.Flatwoods,ForestOpenWoodland,1368.55,16.83,4
128,34.59,-77.73,Swamps.Peatlands,ForestOpenWoodland,1365,17.56,12
129,34.44,-77.72,C.Flatwoods,Plantation,1368.55,16.83,8
130,34.42,-77.74,SeaIslands.C.Marsh,Shurbland.Grassland,1368.55,16.83,13
131,32.35,-80.45,SeaIslands.C.Marsh,Shurbland.Grassland,1269.24,16.94,0
132,32.35,-80.46,SeaIslands.C.Marsh,OpenWater,1268.48,16.22,8
133,32.52,-80.47,SeaIslands.C.Marsh,Shurbland.Grassland,1283.46,17.56,10
134,32.53,-80.45,C.Flatwoods,ForestOpenWoodland,-253974.6,15.67,11
135,34.17,-78.46,C.Flatwoods,Shurbland.Grassland,1224.28,15.44,14
136,34.13,-78.36,C.Flatwoods,Cultural,1224.28,15.44,14
137,34.15,-78.38,C.Flatwoods,Shurbland.Grassland,1224.28,15.44,14
138,34.16,-78.38,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,15.44,1
139,36.08,-75.73,C.Flatwoods,Plantation,1183.13,15.83,16
140,34.26,-78.47,M.A.Floodplains,ForestOpenWoodland,1183.13,15.83,13
141,34.26,-78.52,Swamps.Peatlands,ForestOpenWoodland,1183.13,15.83,0
142,35.78,-76.29,V.B.Islands.C.Marshes,Cultural,1232.92,16.22,1
143,37.15,-75.95,M.A.Flatwoods,Cultural,1232.92,16.22,14
144,36.59,-76.72,M.A.Flatwoods,ForestOpenWoodland,1183.13,15.83,8
145,36.43,-76.69,M.A.Flatwoods,Cultural,1232.92,15.67,19
146,36.44,-76.71,V.B.Islands.C.Marshes,Cultural,1224.28,15.67,0
147,37.77,-75.58,D.Uplands,Cultural,1224.28,15.67,3
148,38.53,-75.72,D.Uplands,Cultural,1224.28,15.67,2
149,38.53,-75.72,D.Uplands,Cultural,1318.26,16.61,16
150,38.34,-75.48,D.Uplands,Cultural,1153.92,15.28,16
151,38.34,-75.48,D.Uplands,ForestOpenWoodland,1153.92,15.67,15
152,38.33,-75.48,D.Uplands,Modified,1403.35,16.56,12
153,38.26,-75.48,D.Uplands,Modified,1129.28,17.22,12
154,38.26,-75.48,D.Uplands,ForestOpenWoodland,1252.73,16.56,0
155,38.17,-75.44,D.Uplands,Modified,1252.73,16.56,12
156,38.24,-75.46,D.Uplands,Modified,1454.4,17,10
157,38.29,-75.46,D.Uplands,Modified,1269.24,16.94,10
158,38.28,-75.45,D.Uplands,Modified,1269.24,16.94,12
159,38.3,-75.45,D.Uplands,Modified,1455.67,15.56,12
160,38.26,-75.42,D.Uplands,Modified,1268.48,16.22,13
161,38.26,-75.42,D.Uplands,Modified,1451.1,17.56,14
162,38.26,-75.42,D.Uplands,Modified,1153.92,19.28,13
163,38.26,-75.42,D.Uplands,Plantation,1153.92,19.28,11
164,38.27,-75.47,D.Uplands,Plantation,1200.15,17.83,11
165,38.27,-75.47,D.Uplands,Plantation,1200.15,17.83,12
166,38.27,-75.47,D.Uplands,ForestOpenWoodland,1200.15,17.83,9
167,38.26,-75.47,D.Uplands,ForestOpenWoodland,1152.14,19.28,8
168,38.26,-75.46,D.Uplands,ForestOpenWoodland,1153.92,19.28,15
169,38.64,-75.47,D.Uplands,ForestOpenWoodland,1153.92,19.28,15
170,38.3,-75.47,D.Uplands,ForestOpenWoodland,1153.92,19.28,14
171,38.3,-75.48,D.Uplands,Plantation,1324.61,18.17,12
172,38.31,-75.47,D.Uplands,Plantation,1324.61,18.17,14
173,38.31,-75.47,D.Uplands,ForestOpenWoodland,1324.61,18.17,13
174,38.3,-75.47,D.Uplands,ForestOpenWoodland,1324.61,17.5,13
175,38.3,-75.47,D.Uplands,Plantation,1293.11,18.22,15
176,38.28,-75.46,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1324.61,18.17,0
177,36.29,-75.99,C.P.Lowlands.T.Marshes,Shurbland.Grassland,1152.14,17.5,1
178,36.36,-76,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1216.66,17.5,2
179,36.27,-76.02,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1324.61,18.17,0
180,36.36,-76.22,C.P.Lowlands.T.Marshes,Shurbland.Grassland,1263.14,18.83,3
181,36.4,-76.02,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1263.14,18.83,0
182,35.99,-76.15,D.Uplands,Shurbland.Grassland,1293.11,18.22,9
183,37.18,-75.99,C.P.Lowlands.T.Marshes,Plantation,1324.61,18.17,0
184,38.13,-75.44,D.Uplands,Plantation,1324.61,18.17,8
185,38.22,-75.53,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1224.28,17.5,0
186,38.05,-75.64,D.Uplands,ForestOpenWoodland,1293.11,18.22,2
187,38.22,-75.36,D.Uplands,Plantation,1324.61,18.17,11
188,38.2,-75.47,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1324.61,18.17,0
189,35.87,-76.31,Swamps.Peatlands,ForestOpenWoodland,1324.61,18.17,1
190,35.81,-76.29,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1324.61,18.17,0
191,35.8,-76.11,Swamps.Peatlands,Shurbland.Grassland,1293.11,18.22,0
192,35.76,-76.26,Swamps.Peatlands,Cultural,1153.92,19.28,3
193,35.69,-76.54,Swamps.Peatlands,Shurbland.Grassland,1153.92,19.28,3
194,35.62,-76.34,Swamps.Peatlands,ForestOpenWoodland,1267.21,19.22,2
195,35.74,-76.31,D.Uplands,ForestOpenWoodland,1267.21,19.22,14
196,38.78,-75.44,D.Uplands,ForestOpenWoodland,1324.61,18.17,2
197,38.75,-75.39,SeaIslands.C.Marsh,Shurbland.Grassland,1324.61,18.17,3
198,33.16,-79.37,SeaIslands.C.Marsh,ForestOpenWoodland,1152.14,19.28,2
199,33.15,-79.37,D.Uplands,Plantation,1152.14,19.28,0
200,37.33,-76.01,D.Uplands,Plantation,1152.14,19.28,3
201,37.33,-76.01,SeaIslands.C.Marsh,ForestOpenWoodland,1171.96,14.72,26
202,32.34,-80.82,SeaIslands.C.Marsh,Shurbland.Grassland,1037.34,13.78,2
203,32.35,-80.82,SeaIslands.C.Marsh,ForestOpenWoodland,1120.39,14.11,21
204,32.34,-80.83,C.Flatwoods,ForestOpenWoodland,1120.39,14.11,14
205,34.56,-77.48,C.Flatwoods,ForestOpenWoodland,1037.34,13.78,30
206,34.87,-78.73,C.Flatwoods,Shurbland.Grassland,-253974.6,14.06,30
207,34.8,-78.68,C.Flatwoods,Shurbland.Grassland,1257.05,15.44,31
208,34.8,-78.68,C.B.Islands.C.Marshes,OpenWater,1269.24,14.06,1
209,34.7,-76.84,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1324.61,14.06,5
210,38.82,-76.1,V.B.Islands.C.Marshes,Shurbland.Grassland,1257.05,15.44,2
211,36.26,-75.79,V.B.Islands.C.Marshes,Shurbland.Grassland,1171.96,14.72,0
212,36.26,-75.79,C.Flatwoods,ForestOpenWoodland,1037.34,13.78,7
213,34.83,-77.22,M.A.Floodplains,ForestOpenWoodland,1171.96,14.72,7
214,34.52,-78.43,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1168.91,15,2
215,34.91,-76.37,M.A.Flatwoods,ForestOpenWoodland,1168.91,15,7
,36.42,-76.72,,,,,
